category,rank,name,location,imageurl,description,latitude,longitude,ratingurl
hotels,1,Tulemar Bungalows & Villas,"Manuel Antonio, Costa Rica",https://media-cdn.tripadvisor.com/media/photo-s/16/28/90/5a/tulemar-bungalows-villas.jpg,"The perfect vacation. The best part was simply chilling on our veranda, looking out at the ocean, watching parrots fly past.",9.4107288,-84.1557625,/Hotel_Review-g309274-d300974-Reviews-Tulemar_Bungalows_Villas-Manuel_Antonio_Quepos_Province_of_Puntarenas.html
hotels,2,Hotel Colline de France,"Gramado, Brazil",https://media-cdn.tripadvisor.com/media/photo-w/1c/ef/97/6c/caption.jpg,"Whether on a honeymoon or family vacation, you will fall in love with the hotel. It’s very nice, but what makes it truly special is not the expensive decor, it’s the staff!",-29.3787488,-50.8724941,/Hotel_Review-g303536-d13871137-Reviews-Hotel_Colline_de_France-Gramado_State_of_Rio_Grande_do_Sul.html
hotels,3,Ikos Aria,"Kefalos, Greece",https://media-cdn.tripadvisor.com/media/photo-s/1a/d2/e2/e3/ikos-aria.jpg,"An absolutely beautiful hotel in the most stunning of locations. With immaculately kept grounds, a wide sandy beach, crystal clear seas and views of the beautiful island.",36.7450224,26.9595207,/Hotel_Review-g910630-d15182081-Reviews-Ikos_Aria-Kefalos_Kos_Dodecanese_South_Aegean.html
hotels,4,Romance Istanbul Hotel,"Istanbul, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/16/8d/a7/19/romance-istanbul-hotel.jpg,"The geographical location is one thing, however this boutique hotel really excels at hospitality. Everyone was very friendly, the rooms were very clean and all of your wishes are fulfilled instantly.",41.0091982,28.9662187,/Hotel_Review-g293974-d8364987-Reviews-Romance_Istanbul_Hotel-Istanbul.html
hotels,5,THE OMNIA,"Zermatt, Switzerland",https://media-cdn.tripadvisor.com/media/photo-s/1c/78/91/a8/the-omnia.jpg,"Everything was perfect: the Bond-like cave entrance, the view from the terrace, the indoor/outdoor spa, the sensational service, the whisky selection, the unbelievable schnitzel…",46.0212076,7.749254,/Hotel_Review-g188098-d619925-Reviews-THE_OMNIA-Zermatt_Canton_of_Valais_Swiss_Alps.html
hotels,6,Kayakapi Premium Caves - Cappadocia,"Urgup, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/1a/7d/f8/33/images-largejpg.jpg,"It felt so special to not only stay in an original cave home, but also to experience the luxurious touches the hotel had added.",38.6300508,34.9116025,/Hotel_Review-g297989-d4090921-Reviews-Kayakapi_Premium_Caves_Cappadocia-Urgup_Cappadocia.html
hotels,7,Six Senses Laamu,"Olhuveli Island, Maldives",https://media-cdn.tripadvisor.com/media/photo-s/24/41/dc/3a/hotel-exterior.jpg,We were encouraged to go barefoot and it helped us feel connected to the earth. Loved stepping off our deck directly into the ocean to snorkel where the waters are teeming with beautiful marine life.,29.689689,-85.290566,/Hotel_Review-g2050017-d2045398-Reviews-Six_Senses_Laamu-Olhuveli_Island.html
hotels,8,Hamanasi Adventure and Dive Resort,"Hopkins, Belize",https://media-cdn.tripadvisor.com/media/photo-s/09/80/9d/d7/hamanasi-adventure-and.jpg,The service is really amazing. We thought they had all been sent to charm school. We've recommended this place to our friends and even our enemies.,16.8636325,-88.2849352,/Hotel_Review-g635532-d578879-Reviews-Hamanasi_Adventure_and_Dive_Resort-Hopkins_Stann_Creek.html
hotels,9,Padma Resort Ubud,"Payangan, Indonesia",https://media-cdn.tripadvisor.com/media/photo-s/0e/a6/c9/70/premier-twin-romm.jpg,"Wow just wow! The setting and location are just breathtaking! As soon as you set foot in the lounge, you are taken by the views of the beautiful jungle.",-8.4252668,115.2455213,/Hotel_Review-g15213439-d7907965-Reviews-Padma_Resort_Ubud-Puhu_Payangan_Gianyar_Regency_Bali.html
hotels,10,BLESS Hotel Madrid,"Madrid, Spain",https://media-cdn.tripadvisor.com/media/photo-s/18/02/3f/30/bar.jpg,"Not only is the place classy, elegant, and dynamic, the staff is also top class. They made sure that our time at Bless was unique, memorable and unmatchable.",40.4167047,-3.7035825,/Hotel_Review-g187514-d12877674-Reviews-BLESS_Hotel_Madrid-Madrid.html
hotels,11,Ikos Dassia,"Dassia, Greece",https://media-cdn.tripadvisor.com/media/photo-s/1a/e3/a4/c2/ikos-dassia.jpg,"The staff can’t seem to do enough for you, the restaurants, including the buffet, are very good, the place is spotless and the facilities are second to none.",39.6800271,19.837897,/Hotel_Review-g939713-d12279503-Reviews-Ikos_Dassia-Dassia_Corfu_Ionian_Islands.html
hotels,12,Pimalai Resort and Spa,"Ko Lanta, Krabi Province",https://media-cdn.tripadvisor.com/media/photo-s/21/ac/43/cf/beach.jpg,Brilliant experience,7.5310204,99.0943842,/Hotel_Review-g303905-d302953-Reviews-Pimalai_Resort_and_Spa-Ko_Lanta_Krabi_Province.html
hotels,13,Lotte Hotel Hanoi,"Hanoi, Vietnam",https://media-cdn.tripadvisor.com/media/photo-s/1b/cb/0e/eb/relaxation-room-evian.jpg,Sensational service - world class,21.0294498,105.8544441,/Hotel_Review-g293924-d5049935-Reviews-Lotte_Hotel_Hanoi-Hanoi.html
hotels,14,COMO Cocoa Island,"Cocoa Island, Maldives",https://media-cdn.tripadvisor.com/media/photo-s/24/9c/cb/5e/como-cci-aerial-como.jpg,Perfect - a home away from home!,3.9177660000000003,73.46955329735235,/Hotel_Review-g6852301-d308275-Reviews-COMO_Cocoa_Island-Cocoa_Island.html
hotels,15,La Maison Favart,"Paris, France",https://media-cdn.tripadvisor.com/media/photo-s/23/e4/84/cb/exterior-view.jpg,"Absolutely great in every way! Very friendly and attentive staff, beautifully decorated rooms, a nice spa and very centrally located.",48.8534951,2.3483915,/Hotel_Review-g187147-d232552-Reviews-La_Maison_Favart-Paris_Ile_de_France.html
hotels,16,"Sukhumvit Park, Bangkok - Marriott Executive Apartments","Bangkok, Thailand",https://media-cdn.tripadvisor.com/media/photo-s/27/8e/53/1b/leisure-moment-at-outdoor.jpg,Super hospitality,13.7524938,100.4935089,/Hotel_Review-g293916-d1509981-Reviews-Sukhumvit_Park_Bangkok_Marriott_Executive_Apartments-Bangkok.html
hotels,17,Quinta Jardins do Lago,"Funchal, Portugal",https://media-cdn.tripadvisor.com/media/photo-s/17/91/c0/6b/20190514-145624-largejpg.jpg,"As near perfection as one could reasonably expect: quality and attention to detail; friendly, quietly efficient, but not intrusive, service; beautiful gardens and a delightful pool.",32.6496497,-16.9086783,/Hotel_Review-g189167-d319673-Reviews-Quinta_Jardins_do_Lago-Funchal_Madeira_Madeira_Islands.html
hotels,18,La Maison Arabe,"Marrakech, Morocco",https://media-cdn.tripadvisor.com/media/photo-s/18/e4/5a/db/la-maison-arabe.jpg,Stay here and have an amazing trip!,31.6258257,-7.9891608,/Hotel_Review-g293734-d303075-Reviews-La_Maison_Arabe-Marrakech_Marrakech_Safi.html
hotels,19,The Royal Purnama,"Sukawati, Indonesia",https://media-cdn.tripadvisor.com/media/photo-w/1c/b5/3f/0a/the-royal-purnama.jpg,"A perfect relaxing and inspiring hotel, a must!",-8.5961547,115.2820391,/Hotel_Review-g2646686-d7621681-Reviews-The_Royal_Purnama-Sukawati_Gianyar_Regency_Bali.html
hotels,20,Jaya House River Park,"Siem Reap, Cambodia",https://media-cdn.tripadvisor.com/media/photo-s/0e/17/f6/4b/jaya-house-river-park.jpg,Laidback luxury…genuinely friendly not fake fussy.,13.3617562,103.8590321,/Hotel_Review-g297390-d11966106-Reviews-Jaya_House_River_Park-Siem_Reap_Siem_Reap_Province.html
hotels,21,The Hazelton Hotel,"Toronto, Ontario",https://media-cdn.tripadvisor.com/media/photo-s/26/5a/f4/88/tht.jpg,"Welcoming Staff, Great Location",43.6534817,-79.3839347,/Hotel_Review-g155019-d656431-Reviews-The_Hazelton_Hotel-Toronto_Ontario.html
hotels,22,Round Hill Hotel and Villas,"Hopewell, Jamaica",https://media-cdn.tripadvisor.com/media/photo-s/27/be/93/a2/round-hill-hotel-and.jpg,Spectacular!,18.4568429,-78.0119125,/Hotel_Review-g2307447-d147496-Reviews-Round_Hill_Hotel_and_Villas-Hopewell_Montego_Bay_Saint_James_Parish_Jamaica.html
hotels,23,Saraye Ameriha Boutique Hotel,"Kashan, Iran",https://media-cdn.tripadvisor.com/media/photo-s/07/05/8d/3b/main-yard-atnight.jpg,"Lovely ,nice ,traditional hotel in Kashan",33.9876533,51.4428856,/Hotel_Review-g680023-d7211229-Reviews-Saraye_Ameriha_Boutique_Hotel-Kashan_Isfahan_Province.html
hotels,24,Bucuti & Tara Beach Resort Aruba,"Palm - Eagle Beach, Aruba",https://media-cdn.tripadvisor.com/media/photo-s/12/36/69/27/bucuti-tara-beach-resort.jpg,"The resort is beautiful, the service outstanding, and the wide, white sand beach is stunning. The staff made us feel special and pampered all week.",12.57401,-70.040455,/Hotel_Review-g147249-d301462-Reviews-Bucuti_Tara_Beach_Resort_Aruba-Palm_Eagle_Beach_Aruba.html
hotels,25,The Oberoi Beach Resort Sahl Hasheesh,"Hurghada, Egypt",https://media-cdn.tripadvisor.com/media/photo-s/1b/35/34/b2/recreational-facilities.jpg,Amazing place,27.222556,33.8307062,/Hotel_Review-g15516847-d302029-Reviews-The_Oberoi_Beach_Resort_Sahl_Hasheesh-Sahl_Hasheesh_Hurghada_Red_Sea_and_Sinai.html
