category,rank,name,location,imageurl,description,latitude,longitude,ratingurl
beaches,1,Grace Bay Beach,"Grace Bay, Providenciales",https://media-cdn.tripadvisor.com/media/photo-o/03/ca/1d/ec/grace-bay.jpg,An absolutely idyllic setting. Golden sand edging crystal clear blue water with gently lapping waves - it's what postcards were made for.,21.7948563,-72.17941642310801,/Attraction_Review-g10006284-d148331-Reviews-Grace_Bay_Beach-Grace_Bay_Providenciales_Turks_and_Caicos.html
beaches,2,Varadero Beach,"Varadero, Cuba",https://media-cdn.tripadvisor.com/media/photo-s/16/23/47/10/img-20190108-120940-largejpg.jpg,Postcard perfect. The water was the bluest I’ve ever seen and the sand was powdery white.,23.149578,-81.260025,/Attraction_Review-g147275-d669563-Reviews-Varadero_Beach-Varadero_Matanzas_Province_Cuba.html
beaches,3,Turquoise Bay,"Exmouth, Australia",https://media-cdn.tripadvisor.com/media/photo-s/10/c3/13/f6/amazing-reef-and-colour.jpg,Words cannot capture how spectacular this beach is. Long stretches of white sand and crystal blue water. World class snorkeling for beginners as well as experienced.,-21.9324401,114.1258094,/Attraction_Review-g488342-d2264801-Reviews-Turquoise_Bay-Exmouth_Western_Australia.html
beaches,4,Quarta Praia,"Morro de Sao Paulo, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/10/0b/d9/1c/quarta-praia-em-morro.jpg,Warm water with amazing views. When the sea calms down it forms amazing natural pools. When in Morro de São Paolo this beach is a must see.,-13.3769977,-38.9156107,/Attraction_Review-g488168-d2391228-Reviews-Quarta_Praia-Morro_de_Sao_Paulo_Ilha_de_Tinhare_State_of_Bahia.html
beaches,5,Eagle Beach,"Palm - Eagle Beach, Aruba",https://media-cdn.tripadvisor.com/media/photo-s/09/82/8d/60/eagle-beach.jpg,"Tranquil and pristine, the water is beautifully clear with no rocks or seaweed. The beach stretches as far as you can see.",12.57401,-70.040455,/Attraction_Review-g147249-d150447-Reviews-Eagle_Beach-Palm_Eagle_Beach_Aruba.html
beaches,6,Radhanagar Beach,"Havelock Island, Andaman and Nicobar Islands",https://media-cdn.tripadvisor.com/media/photo-s/05/76/7a/1d/radhanagar-beach.jpg,"Amazing clear turquoise water, mangrove forests in the background, pristine white sand and not too deep... what's not to like!",11.965195399999999,92.99562114546528,/Attraction_Review-g503691-d523963-Reviews-Radhanagar_Beach-Havelock_Island_Andaman_and_Nicobar_Islands.html
beaches,7,Baia do Sancho,"Fernando de Noronha, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/16/89/3b/95/baia-do-sancho.jpg,A beautiful remote beach that can only be reached by descending ladders and stone steps. The majestic bluffs will take your breath away.,-3.8545643,-32.37861623300567,/Attraction_Review-g616328-d2391494-Reviews-Baia_do_Sancho-Fernando_de_Noronha_State_of_Pernambuco.html
beaches,8,Trunk Bay Beach,"Virgin Islands National Park, St. John",https://media-cdn.tripadvisor.com/media/photo-s/00/12/ab/fa/winter2.jpg,"Great snorkeling with lobster, tarpon, squid, sea turtles and a beautiful beach, great place at sunset.",18.369921,-64.711199,/Attraction_Review-g147411-d147590-Reviews-Trunk_Bay_Beach-Virgin_Islands_National_Park_St_John_U_S_Virgin_Islands.html
beaches,9,Baia dos Golfinhos,"Praia da Pipa, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/15/d0/4c/66/20181222-094525-largejpg.jpg,"Whenever you go, there's no doubt you'll see dolphins! But the landscape alone is breathtaking.",39.523813,-87.128568,/Attraction_Review-g303522-d2510735-Reviews-Baia_dos_Golfinhos-Praia_da_Pipa_Tibau_do_Sul_State_of_Rio_Grande_do_Norte.html
beaches,10,Spiaggia dei Conigli,"Lampedusa, Islands of Sicily",https://media-cdn.tripadvisor.com/media/photo-s/05/76/75/56/rabbit-beach.jpg,"One of the marvels of the world. White sand beach, turquoise water, cooling sea breeze. Prepare for a 20-minute walk to get to the beach, but once you are there you feel like you're not on Earth.",35.500516,12.606672,/Attraction_Review-g262047-d568915-Reviews-Spiaggia_dei_Conigli-Lampedusa_Islands_of_Sicily_Sicily.html
