id,category,rank,name,location,imageurl,description,latitude,longitude,rate,total_reviews,excellent,very_good,average,poor,terrible
beaches1,beaches,1,Grace Bay Beach,"Grace Bay, Providenciales",https://media-cdn.tripadvisor.com/media/photo-o/03/ca/1d/ec/grace-bay.jpg,An absolutely idyllic setting. Golden sand edging crystal clear blue water with gently lapping waves - it's what postcards were made for.,21.7948563,-72.17941642310801,5.0,7379,6574,635,128,26,16
beaches2,beaches,2,Varadero Beach,"Varadero, Cuba",https://media-cdn.tripadvisor.com/media/photo-s/16/23/47/10/img-20190108-120940-largejpg.jpg,Postcard perfect. The water was the bluest I’ve ever seen and the sand was powdery white.,23.149578,-81.260025,4.5,21177,15759,4103,941,210,164
beaches3,beaches,3,Turquoise Bay,"Exmouth, Australia",https://media-cdn.tripadvisor.com/media/photo-s/10/c3/13/f6/amazing-reef-and-colour.jpg,Words cannot capture how spectacular this beach is. Long stretches of white sand and crystal blue water. World class snorkeling for beginners as well as experienced.,-21.9324401,114.1258094,5.0,2033,1633,339,49,7,5
beaches4,beaches,4,Quarta Praia,"Morro de Sao Paulo, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/10/0b/d9/1c/quarta-praia-em-morro.jpg,Warm water with amazing views. When the sea calms down it forms amazing natural pools. When in Morro de São Paolo this beach is a must see.,-13.3769977,-38.9156107,4.5,4624,3283,1076,224,29,12
beaches5,beaches,5,Eagle Beach,"Palm - Eagle Beach, Aruba",https://media-cdn.tripadvisor.com/media/photo-s/09/82/8d/60/eagle-beach.jpg,"Tranquil and pristine, the water is beautifully clear with no rocks or seaweed. The beach stretches as far as you can see.",12.57401,-70.040455,4.5,10296,8074,1756,367,69,30
beaches6,beaches,6,Radhanagar Beach,"Havelock Island, Andaman and Nicobar Islands",https://media-cdn.tripadvisor.com/media/photo-s/05/76/7a/1d/radhanagar-beach.jpg,"Amazing clear turquoise water, mangrove forests in the background, pristine white sand and not too deep... what's not to like!",11.9651954,92.99562114546528,4.5,4375,3374,832,150,10,9
beaches7,beaches,7,Baia do Sancho,"Fernando de Noronha, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/16/89/3b/95/baia-do-sancho.jpg,A beautiful remote beach that can only be reached by descending ladders and stone steps. The majestic bluffs will take your breath away.,-3.8545643,-32.37861623300567,5.0,8745,8107,541,68,18,11
beaches8,beaches,8,Trunk Bay Beach,"Virgin Islands National Park, St. John",https://media-cdn.tripadvisor.com/media/photo-s/00/12/ab/fa/winter2.jpg,"Great snorkeling with lobster, tarpon, squid, sea turtles and a beautiful beach, great place at sunset.",18.369921,-64.711199,4.5,3097,2340,540,169,37,11
beaches9,beaches,9,Baia dos Golfinhos,"Praia da Pipa, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/15/d0/4c/66/20181222-094525-largejpg.jpg,"Whenever you go, there's no doubt you'll see dolphins! But the landscape alone is breathtaking.",39.523813,-87.128568,4.5,6342,4697,1362,244,24,15
beaches10,beaches,10,Spiaggia dei Conigli,"Lampedusa, Islands of Sicily",https://media-cdn.tripadvisor.com/media/photo-s/05/76/75/56/rabbit-beach.jpg,"One of the marvels of the world. White sand beach, turquoise water, cooling sea breeze. Prepare for a 20-minute walk to get to the beach, but once you are there you feel like you're not on Earth.",35.500516,12.606672,5.0,6442,5683,543,121,47,48
