category,rank,rate,total_reviews,excellent,very_good,average,poor,terrible
beaches,1,5.0,7379,6574,635,128,26,16
beaches,2,4.5,21177,15759,4103,941,210,164
beaches,3,5.0,2033,1633,339,49,7,5
beaches,4,4.5,4624,3283,1076,224,29,12
beaches,5,4.5,10296,8074,1756,367,69,30
beaches,6,4.5,4375,3374,832,150,10,9
beaches,7,5.0,8745,8107,541,68,18,11
beaches,8,4.5,3097,2340,540,169,37,11
beaches,9,4.5,6342,4697,1362,244,24,15
beaches,10,5.0,6442,5683,543,121,47,48
beaches,11,4.5,2726,1957,613,131,17,8
beaches,12,4.5,5858,3979,1547,291,27,14
beaches,13,4.5,2734,2008,608,89,23,6
beaches,14,4.5,8541,6868,1134,318,109,114
beaches,15,4.5,2798,2240,438,93,20,7
beaches,16,4.5,4888,3036,1439,346,54,13
beaches,17,4.5,4544,3026,1233,215,46,24
beaches,18,4.5,12080,7184,3060,1240,381,215
beaches,19,4.5,8193,6095,1491,435,110,62
beaches,20,4.5,2670,1717,663,186,66,39
beaches,21,4.5,6032,3736,1481,560,146,112
beaches,22,4.5,7612,4262,1954,938,302,156
beaches,23,4.5,20725,13722,4756,1480,425,344
beaches,24,4.5,10646,7671,1901,668,254,152
beaches,25,4.5,1194,811,307,64,5,7
