category,rank,rate,total_reviews,excellent,very good,average,poor,terrible
hotels,1,5,4970,4777,144,29,14,6
hotels,2,5,3039,3033,6,0,0,0
hotels,3,5,1928,1902,21,5,0,0
hotels,4,5,3290,3237,46,5,1,1
hotels,5,5,1372,1320,38,9,5,0
hotels,6,5,2182,2047,116,15,4,2
hotels,7,5,3630,3431,150,41,7,2
hotels,8,5,2893,2805,75,5,4,4
hotels,9,5,4617,4382,180,34,9,12
hotels,10,5,638,574,29,17,7,11
hotels,11,5,3094,2996,85,14,0,0
hotels,12,5,3265,2842,307,64,41,12
hotels,13,5,2273,2065,169,20,11,7
hotels,14,5,1678,1559,88,26,4,1
hotels,15,5,2119,1765,291,48,9,6
hotels,16,5,1951,1616,275,43,11,6
hotels,17,5,2394,2223,151,17,1,2
hotels,18,5,3292,2865,127,15,7,7
hotels,19,5,701,623,57,15,3,3
hotels,20,5,3066,3043,22,2,0,0
hotels,21,5,1446,1338,63,24,11,10
hotels,22,5,1737,1493,144,56,26,18
hotels,23,5,896,821,54,10,8,3
hotels,24,5,8508,7673,604,146,52,33
hotels,25,5,2209,1992,139,40,21,17
