id,category,rank,name,location,imageurl,description,latitude,longitude,rate,total_reviews,excellent,very_good,average,poor,terrible
hotels1,hotels,1,Tulemar Bungalows & Villas,"Manuel Antonio, Costa Rica",https://media-cdn.tripadvisor.com/media/photo-s/16/28/90/5a/tulemar-bungalows-villas.jpg,"The perfect vacation. The best part was simply chilling on our veranda, looking out at the ocean, watching parrots fly past.",9.4107288,-84.1557625,5,"4,970","4,777",144,29,14,6
hotels2,hotels,2,Hotel Colline de France,"Gramado, Brazil",https://media-cdn.tripadvisor.com/media/photo-w/1c/ef/97/6c/caption.jpg,"Whether on a honeymoon or family vacation, you will fall in love with the hotel. It’s very nice, but what makes it truly special is not the expensive decor, it’s the staff!",-29.3787488,-50.8724941,5,"3,039","3,033",6,0,0,0
hotels3,hotels,3,Ikos Aria,"Kefalos, Greece",https://media-cdn.tripadvisor.com/media/photo-s/1a/d2/e2/e3/ikos-aria.jpg,"An absolutely beautiful hotel in the most stunning of locations. With immaculately kept grounds, a wide sandy beach, crystal clear seas and views of the beautiful island.",36.7450224,26.9595207,5,"1,928","1,902",21,5,0,0
hotels4,hotels,4,Romance Istanbul Hotel,"Istanbul, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/16/8d/a7/19/romance-istanbul-hotel.jpg,"The geographical location is one thing, however this boutique hotel really excels at hospitality. Everyone was very friendly, the rooms were very clean and all of your wishes are fulfilled instantly.",41.0091982,28.9662187,5,"3,290","3,237",46,5,1,1
hotels5,hotels,5,THE OMNIA,"Zermatt, Switzerland",https://media-cdn.tripadvisor.com/media/photo-s/1c/78/91/a8/the-omnia.jpg,"Everything was perfect: the Bond-like cave entrance, the view from the terrace, the indoor/outdoor spa, the sensational service, the whisky selection, the unbelievable schnitzel…",46.0212076,7.749254,5,"1,372","1,320",38,9,5,0
hotels6,hotels,6,Kayakapi Premium Caves - Cappadocia,"Urgup, Turkiye",https://media-cdn.tripadvisor.com/media/photo-s/1a/7d/f8/33/images-largejpg.jpg,"It felt so special to not only stay in an original cave home, but also to experience the luxurious touches the hotel had added.",38.6300508,34.9116025,5,"2,182","2,047",116,15,4,2
hotels7,hotels,7,Six Senses Laamu,"Olhuveli Island, Maldives",https://media-cdn.tripadvisor.com/media/photo-s/24/41/dc/3a/hotel-exterior.jpg,We were encouraged to go barefoot and it helped us feel connected to the earth. Loved stepping off our deck directly into the ocean to snorkel where the waters are teeming with beautiful marine life.,29.689689,-85.290566,5,"3,630","3,431",150,41,7,2
hotels8,hotels,8,Hamanasi Adventure and Dive Resort,"Hopkins, Belize",https://media-cdn.tripadvisor.com/media/photo-s/09/80/9d/d7/hamanasi-adventure-and.jpg,The service is really amazing. We thought they had all been sent to charm school. We've recommended this place to our friends and even our enemies.,16.8636325,-88.2849352,5,"2,893","2,805",75,5,4,4
hotels9,hotels,9,Padma Resort Ubud,"Payangan, Indonesia",https://media-cdn.tripadvisor.com/media/photo-s/0e/a6/c9/70/premier-twin-romm.jpg,"Wow just wow! The setting and location are just breathtaking! As soon as you set foot in the lounge, you are taken by the views of the beautiful jungle.",-8.4252668,115.2455213,5,"4,617","4,382",180,34,9,12
hotels10,hotels,10,BLESS Hotel Madrid,"Madrid, Spain",https://media-cdn.tripadvisor.com/media/photo-s/18/02/3f/30/bar.jpg,"Not only is the place classy, elegant, and dynamic, the staff is also top class. They made sure that our time at Bless was unique, memorable and unmatchable.",40.4167047,-3.7035825,5,638,574,29,17,7,11
