category,rank,rate,total_reviews,excellent,very_good,average,poor,terrible
restaurants,1,5.0,1505,"1,359",105,15,8,2
restaurants,2,4.5,827,155,22,13,0,2
restaurants,3,5.0,1331,41,2,0,0,0
restaurants,4,5.0,1873,602,48,13,4,5
restaurants,5,5.0,930,127,6,0,3,2
restaurants,6,5.0,4499,119,26,12,4,3
restaurants,7,5.0,896,35,3,0,1,0
restaurants,8,5.0,1363,"1,176",84,14,5,8
restaurants,9,5.0,1176,84,6,2,0,0
restaurants,10,5.0,3275,"2,768",299,139,40,18
restaurants,11,4.5,3172,"2,205",256,99,27,38
restaurants,12,5.0,545,22,3,2,0,0
restaurants,13,4.5,1854,"1,446",183,75,25,11
restaurants,14,4.5,1408,"1,172",128,64,11,17
restaurants,15,4.5,2293,135,19,9,3,3
restaurants,16,5.0,1566,452,32,17,12,4
restaurants,17,5.0,1072,800,64,18,9,3
restaurants,18,4.5,4006,"1,131",164,95,29,27
restaurants,19,4.5,4903,"3,891",550,212,82,37
restaurants,20,5.0,1116,142,15,3,1,0
restaurants,21,4.5,1503,340,59,25,9,2
restaurants,22,4.5,1079,823,105,26,14,7
restaurants,23,4.5,1675,914,148,40,15,14
restaurants,24,4.5,1172,783,114,27,16,5
restaurants,25,4.5,2096,654,99,50,22,9
