id,category,rank,name,location,imageurl,description,latitude,longitude,rate,total_reviews,excellent,very_good,average,poor,terrible
things1,things,1,Flagship Amsterdam Open Boat Canal Cruise - Local live guide with bar on board,"Amsterdam, The Netherlands",https://media-cdn.tripadvisor.com/media/photo-s/22/60/80/91/caption.jpg,"Fun and informative and money well spent. Skipper and host were comical and enjoyable, telling us random but no less incredible facts about Amsterdam as we sailed through it.",52.3727598,4.8936041,5.0,15026,14334,535,95,40,22
things2,things,2,"Dubai: Red Dunes ATV, Sandsurf, Camels, Stargazing & 5* BBQ at Al Khayma Camp™️","Dubai, United Arab Emirates",https://media-cdn.tripadvisor.com/media/photo-s/1b/bb/da/be/caption.jpg,"The best experience in Dubai. Everything was perfect. The show, the quad, the 4x4 tour in the desert, sandboarding, the reception at the camp, the meal, our very friendly guide.",25.2653471,55.2924914,5.0,6665,6513,127,14,8,3
things3,things,3,Tour of North Shore & Sightseeing,"Honolulu, Hawaii",https://media-cdn.tripadvisor.com/media/photo-s/21/60/ce/b5/caption.jpg,Our tour guide was awesome! He taught us so much about Hawaiian culture and history. The Waimea gardens and waterfall were gorgeous and definitely something you don't want to miss! Loved every minute!,21.2891309,-157.7173915,5.0,3180,3086,61,19,7,7
things4,things,4,Aruba Natural Pool and Indian Cave Jeep Safari,"Aruba, Caribbean",https://media-cdn.tripadvisor.com/media/photo-s/1c/b3/f4/17/caption.jpg,"Amazing excursion - great introduction to the wonders of Aruba’s undeveloped side. Wonderful guide - knowledgeable, informative, personable, witty, helpful, and thoughtful. Excellent lunch included.",12.4333297,-69.90788823047265,5.0,3403,3271,89,24,12,7
things5,things,5,Clear Kayak Tour of Shell Key Preserve and Tampa Bay Area,"Tierra Verde, Florida",https://media-cdn.tripadvisor.com/media/photo-s/1b/90/99/61/caption.jpg,What a wonderful and relaxing way to spend the day - kayaking in beautiful blue water and meandering in and out of mangroves. Our fabulous guide was full of information.,27.673139,-82.72868763606749,5.0,2629,2585,29,7,1,7
things6,things,6,Classic Inca Trail Trek 4D/3N to Machu Picchu (Group Service),"Cusco, Peru",https://media-cdn.tripadvisor.com/media/photo-s/23/9e/01/58/3n-to-machu-picchu-group.jpg,"Accomplishing this hike was made so much easier by Alpaca Expeditions, our guide, and the porters and chefs that came along. They are 100% local and indigenous-owned and are forerunners in sustainable tourism.",-13.5170887,-71.9785356,5.0,2102,2087,13,0,0,2
things7,things,7,Reykjavik Food Walk - Local Foodie Adventure in Iceland,"Reykjavik, Iceland",https://media-cdn.tripadvisor.com/media/photo-s/22/26/10/de/reykjavik-food-walk.jpg,"A perfect afternoon of eating, walking, and laughing. We were particularly impressed with the variety of restaurants: fancy, traditional and even street. Also timed well in that we never waited and never rushed.",64.145981,-21.9422367,5.0,6367,6232,109,17,5,4
things8,things,8,High-Speed Thames River RIB Cruise in London,"London, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/23/71/0c/c0/caption.jpg,Exhilarating experience for the whole family!,51.5073219,-0.1276474,5.0,2248,2202,32,4,0,10
things9,things,9,Rafting - Brotas - Rio Jacare Pepira,"Brotas, Brazil",https://media-cdn.tripadvisor.com/media/photo-s/1a/e2/2e/85/caption.jpg,Great memorable family experience!,-22.2840884,-48.1267265,5.0,2331,2271,52,4,3,1
things10,things,10,City & Beatles Tour - BLUE ROUTE,"Liverpool, United Kingdom",https://media-cdn.tripadvisor.com/media/photo-s/23/84/07/3a/chance-to-get-off-the.jpg,Amazing bus tour with Chloe and Collin!,53.4071991,-2.99168,5.0,3078,2884,130,20,20,24
